level,time,enemies,interval,pos
1,60,normal_1,1,0|5
2,100,normal_2,1,0|5
2,60,normal_2|speed_2,1,-5|5
2,60,speed_4|normal_2,1,7|5
3,100,normal_2,1,0|5
3,60,normal_2|speed_2,1,-5|5
3,60,melee_1|speed_4|normal_2|melee_1,1,7|5
4,100,normal_2,1,0|5
4,60,normal_2|speed_2,1,-5|5
4,60,melee_1|speed_4|normal_2|melee_1,1,7|5
5,100,normal_2,1,0|5
5,60,normal_2|speed_2,1,-5|5
5,60,melee_1|speed_4|normal_2|melee_1,1,7|5
6,100,normal_2,1,0|5
6,60,normal_2|speed_2,1,-5|5
6,60,melee_1|speed_4|normal_2|melee_1,1,7|5
