identifier,text,isEnd,startAction,waitToFinish
start,"Balance cookware on this unstable board, bake bread, and survive waves of enemies.",,hideDestroyButton|hideEncounter,
,"Place the Fridge on the board. The middle is safest, but anywhere on the board works.",,,
,Place the Fridge on the board.,,,build_core
,"Click a button to pick cookware, then click the board to place it. You can also press number keys to select.",,addBuilding_electricity,
,Right-click to cancel the current selection.,,,
,"Place the Generator on the board, and try to keep the board balanced.",,,build_electricity
,The Generator makes electricity and stores it. Later cookware needs power to work.,,,
,You can add a Grain Grinder now. Place it near electricity and Wheat so it can make flour.,,addBuilding_mine,
,Place the Grain Grinder on the board and make sure it is working.,,,build_mine
,Enemies will attack later. Place some cookware that can fight back.,,addBuilding_attack|addBuilding_wall,
,"The Oven bakes flour into bread and shoots enemies, but it consumes flour from the Grain Grinder.",,,
,The Cutting Board has more HP and can protect other cookware.,,,
,Place the Oven and the Cutting Board on the board.,,,build_attack|build_wall
,"Press 0, or click the Destroy button, then select the cookware you want to remove.",,addDestoryButton,
,Destroy a piece of cookware.,,,destoryBuilding
,Enemies are coming! Try building more cookware.,,addEncounter,
,Click the spawn point to speed up the wave and earn extra coins.,,,
,Just make sure you are ready to fight when you do that!,,,
,"Prepare for the enemies, then click the spawn point when you are ready.",,,killEnemy
,"That's everything you need to know! Stay in this level, or press Enter to finish.",,,
,Press Space to pause or unpause.,,,
,Press Ctrl to hide or show resource stock on cookware.,1,,
level2,Hover over cookware to check what it does before you place the Fridge.,,,
,Scroll to zoom the view in and out.,1,,
level4,"From now on, your coin would not increase automatically, try to become self-sufficient",,,
